#
# conName	fromPadded	toPadded	fromUnPadded	toUnPadded	len	type	SNPqual	qualA	qualC	qualG	qualT	qual*	comment
#
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	0	4	0	4	5	MIRA							Assembled with MIRA
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	5729	5729	5729	5729	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	6063	6063	6063	6063	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	6167	6167	6167	6167	1	SRMc	84	89	0	0	84	0	
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	6372	6372	6372	6372	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	6685	6685	6685	6685	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	6697	6697	6697	6697	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	6732	6732	6732	6732	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	6869	6869	6869	6869	1	SRMc	86	0	87	0	86	0	
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	7089	7089	7089	7089	1	IUPc							Strain 'thy1': Y
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	7089	7089	7089	7089	1	STMS							Solved vote:  / txt (4) T 30  is in  
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	7089	7089	7089	7089	1	UNSc							high
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	7226	7226	7226	7226	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	7679	7679	7679	7679	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	7869	7869	7869	7869	1	IUPc							Strain 'thy1': Y
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	7869	7869	7869	7869	1	STMS							Solved vote:  / txt (4) T 30  is in  
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	7869	7869	7869	7869	1	UNSc							high
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	7943	7943	7943	7943	1	SRMc	86	86	87	0	0	0	
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	8126	8126	8126	8126	1	SRMc	87	88	87	0	0	0	
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	8300	8300	8300	8300	1	SRMc	84	88	0	84	0	0	
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	8423	8423	8423	8423	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	8576	8576	8576	8576	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	8658	8658	8658	8658	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	8778	8778	8778	8778	1	SRMc	84	0	84	0	86	0	
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	9247	9247	9247	9247	1	SRMc	88	88	0	88	0	0	
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	9353	9353	9353	9353	1	IUPc							Strain 'thy1': Y
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	9353	9353	9353	9353	1	STMS							Solved vote:  / txt (4) T 30  is in  
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	9353	9353	9353	9353	1	UNSc							high
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	9782	9782	9782	9782	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	10353	10353	10353	10353	1	SRMc	78	78	0	86	0	0	
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	10655	10655	10655	10655	1	SRMc	89	0	89	0	90	0	
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	10916	10916	10916	10916	1	SRMc	86	87	0	86	0	0	
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	11090	11090	11090	11090	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	11232	11232	11232	11232	1	IUPc							Strain 'thy1': S
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	11232	11232	11232	11232	1	STMS							Solved vote:  / txt (4) G 30  is in  
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	11232	11232	11232	11232	1	UNSc							high
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	11522	11522	11522	11522	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	11947	11947	11947	11947	1	SRMc	78	82	0	78	0	0	
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	12220	12220	12220	12220	1	IUPc							Strain 'thy1': Y
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	12220	12220	12220	12220	1	STMS							Solved vote:  / txt (4) C 30  is in  
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	12220	12220	12220	12220	1	UNSc							high
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	12709	12709	12709	12709	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	12897	12897	12897	12897	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	12915	12915	12915	12915	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	13106	13106	13106	13106	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	13409	13409	13409	13409	1	SRMc	87	88	0	87	0	0	
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	13664	13664	13664	13664	1	SRMc	75	75	0	89	0	0	
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	13856	13856	13856	13856	1	IUPc							Strain 'thy1': Y
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	13856	13856	13856	13856	1	STMS							Solved vote:  / txt (4) T 30  is in  
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	13856	13856	13856	13856	1	UNSc							high
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	14054	14054	14054	14054	1	SRMc	87	0	89	0	87	0	
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	14240	14240	14240	14240	1	SRMc	85	86	0	85	0	0	
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	14438	14438	14438	14438	1	IUPc							Strain 'thy1': R
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	14438	14438	14438	14438	1	STMS							Solved vote:  / txt (4) G 30  is in  
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	14438	14438	14438	14438	1	UNSc							high
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	14480	14480	14480	14480	1	IUPc							Strain 'thy1': Y
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	14480	14480	14480	14480	1	STMS							Solved vote:  / txt (4) T 30  is in  
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	14480	14480	14480	14480	1	UNSc							high
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	14605	14605	14605	14605	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	14626	14626	14626	14626	1	ESDN							
