#
# conName	fromPadded	toPadded	fromUnPadded	toUnPadded	len	type	SNPqual	qualA	qualC	qualG	qualT	qual*	comment
#
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	0	4	0	4	5	MIRA							Assembled with MIRA
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	1662	1662	1661	1661	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	1674	1674	1673	1673	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	1715	1715	1714	1714	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	1718	1718	1717	1717	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	1725	1725	1724	1724	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	1762	1762	1761	1761	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	1768	1768	1767	1767	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	1780	1780	1779	1779	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	1788	1788	1787	1787	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	1802	1802	1801	1801	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	1809	1809	1808	1808	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	1811	1811	1810	1810	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	1821	1821	1820	1820	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	1831	1831	1830	1830	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	1853	1853	1852	1852	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	1857	1857	1856	1856	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	1871	1871	1870	1870	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	1961	1961	1960	1960	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	1964	1964	1963	1963	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	1966	1966	1965	1965	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	2010	2010	2009	2009	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	2012	2012	2011	2011	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	2013	2013	2012	2012	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	2031	2031	2030	2030	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	2037	2037	2036	2036	1	IUPc							Strain 'teu1': K
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	2037	2037	2036	2036	1	STMS							Solved vote:  / txt (4) G 30  is in  
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	2037	2037	2036	2036	1	UNSc							high
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	2048	2048	2047	2047	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	2059	2059	2058	2058	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	2064	2064	2063	2063	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	2088	2088	2087	2087	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	2094	2094	2093	2093	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	2113	2113	2112	2112	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	2116	2116	2115	2115	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	2117	2117	2116	2116	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	2118	2118	2117	2117	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	2121	2121	2120	2120	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	2123	2123	2122	2122	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	2126	2126	2125	2125	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	2136	2136	2135	2135	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	2240	2240	2239	2239	1	SRMc	88	88	90	0	0	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	2378	2378	2377	2377	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	2400	2400	2399	2399	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	2405	2405	2404	2404	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	2462	2462	2461	2461	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	2513	2513	2512	2512	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	2636	2636	2635	2635	1	SRMc	88	88	90	0	0	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	2723	2723	2721	2721	1	SRMc	79	0	0	90	79	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	2793	2793	2791	2791	1	SRMc	83	0	0	90	83	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	2850	2850	2848	2848	1	SRMc	85	85	90	0	0	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	2989	2989	2987	2987	1	SRMc	81	90	0	81	0	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	3110	3110	3108	3108	1	SRMc	26	80	90	0	26	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	3200	3200	3198	3198	1	SRMc	79	79	90	0	0	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	3314	3314	3312	3312	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	3322	3322	3320	3320	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	3434	3434	3432	3432	1	SRMc	76	0	0	90	76	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	3480	3480	3478	3478	1	SRMc	73	0	0	90	73	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	3727	3727	3725	3725	1	SRMc	85	90	85	0	0	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	3840	3840	3838	3838	1	SRMc	89	0	0	90	89	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	3958	3958	3956	3956	1	SRMc	77	0	0	90	77	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	4071	4071	4069	4069	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	4072	4072	4070	4070	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	4075	4075	4073	4073	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	4078	4078	4076	4076	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	4080	4080	4078	4078	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	4087	4087	4085	4085	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	4222	4222	4220	4220	1	SRMc	75	0	0	90	75	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	4379	4379	4375	4375	1	SRMc	86	90	0	0	0	86	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	4380	4380	4376	4376	1	WRMc	85	90	0	0	0	85	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	4499	4499	4493	4493	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	4512	4512	4506	4506	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	4634	4634	4628	4628	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	4678	4678	4672	4672	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	4785	4785	4779	4779	1	SRMc	89	89	90	0	0	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	4838	4838	4832	4832	1	SRMc	82	0	0	90	82	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	4906	4906	4900	4900	1	SRMc	80	0	0	90	80	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	5014	5014	5008	5008	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	5049	5049	5034	5034	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	5057	5057	5042	5042	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	5061	5061	5046	5046	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	5066	5066	5051	5051	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	5081	5081	5066	5066	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	5104	5104	5089	5089	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	5117	5117	5102	5102	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	5118	5118	5103	5103	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	5143	5143	5128	5128	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	5146	5146	5131	5131	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	5229	5229	5214	5214	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	5249	5249	5234	5234	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	5258	5258	5243	5243	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	5363	5363	5348	5348	1	SRMc	76	0	0	90	76	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	5398	5398	5383	5383	1	SRMc	54	0	54	90	80	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	5597	5597	5582	5582	1	SRMc	82	0	0	90	82	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	5728	5728	5713	5713	1	SRMc	83	83	90	0	0	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	5825	5825	5810	5810	1	SRMc	80	80	90	0	0	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	5939	5939	5924	5924	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	6091	6091	6076	6076	1	SRMc	23	83	90	23	0	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	6226	6226	6210	6210	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	6347	6347	6331	6331	1	SRMc	78	0	0	90	78	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	6472	6472	6456	6456	1	SRMc	36	75	90	0	0	36	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	6530	6530	6514	6514	1	SRMc	83	0	0	90	83	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	6646	6646	6630	6630	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	6648	6648	6632	6632	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	6650	6650	6634	6634	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	6660	6660	6644	6644	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	6872	6872	6856	6856	1	SRMc	80	0	0	90	80	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	7015	7015	6999	6999	1	SRMc	83	0	0	90	83	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	7026	7026	7010	7010	1	IUPc							Strain 'teu1': M
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	7026	7026	7010	7010	1	STMS							Solved vote:  / txt (4) C 30  is in  
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	7026	7026	7010	7010	1	UNSc							high
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	7031	7031	-1	-1	1	WRMc	83	0	0	0	83	89	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	7032	7032	7015	7015	1	SRMc	87	0	0	0	90	87	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	7222	7222	7204	7204	1	SRMc	82	82	90	0	84	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	7355	7355	7337	7337	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	7391	7391	7373	7373	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	7400	7400	7382	7382	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	7401	7401	7383	7383	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	7467	7467	7449	7449	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	7473	7473	7455	7455	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	7477	7477	7459	7459	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	7480	7480	7462	7462	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	7523	7523	7505	7505	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	7531	7531	7513	7513	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	7553	7553	7535	7535	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	7580	7580	7562	7562	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	7632	7632	7614	7614	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	7634	7634	7616	7616	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	7636	7636	7618	7618	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	7638	7638	7620	7620	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	7639	7639	7621	7621	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	7640	7640	7622	7622	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	7647	7647	7629	7629	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	7728	7728	7710	7710	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	7740	7740	7722	7722	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	7743	7743	7725	7725	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	7744	7744	7726	7726	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	7748	7748	7730	7730	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	7749	7749	7731	7731	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	7808	7808	-1	-1	1	SROc							high
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	7810	7810	-1	-1	1	SROc							high
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	7811	7811	-1	-1	1	SROc							high
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	7812	7812	-1	-1	1	SROc							high
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	7827	7827	7805	7805	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	7970	7970	7948	7948	1	SRMc	75	0	0	90	75	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	8104	8104	8082	8082	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	8236	8236	8214	8214	1	SRMc	83	83	90	0	0	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	8439	8439	8417	8417	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	8443	8443	8421	8421	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	8444	8444	8422	8422	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	8503	8503	8481	8481	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	8538	8538	8516	8516	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	8568	8568	8546	8546	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	8684	8684	8662	8662	1	SRMc	86	86	0	90	0	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	8736	8736	8714	8714	1	SRMc	90	0	90	0	90	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	8907	8907	8885	8885	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	9014	9014	8992	8992	1	SRMc	90	90	0	90	0	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	9178	9178	9156	9156	1	SRMc	81	81	90	0	0	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	9296	9296	9274	9274	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	9316	9316	9294	9294	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	9518	9518	9496	9496	1	SRMc	90	0	0	90	90	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	9534	9534	9512	9512	1	SRMc	85	85	90	0	0	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	9639	9639	9617	9617	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	9640	9640	9618	9618	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	9669	9669	9647	9647	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	9676	9676	9654	9654	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	9703	9703	9681	9681	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	9863	9863	9841	9841	1	SRMc	33	87	90	0	33	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	9873	9873	9851	9851	1	SRMc	88	0	0	90	88	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	9920	9920	9898	9898	1	SRMc	84	0	0	90	84	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	10028	10028	10006	10006	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	10029	10029	10007	10007	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	10030	10030	10008	10008	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	10031	10031	10009	10009	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	10102	10102	10080	10080	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	10108	10108	10086	10086	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	10138	10138	10116	10116	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	10155	10155	10133	10133	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	10283	10283	10261	10261	1	SRMc	81	0	0	90	81	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	10330	10330	10308	10308	1	SRMc	81	0	0	90	81	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	10431	10431	10409	10409	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	10436	10436	10414	10414	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	10515	10515	10493	10493	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	10520	10520	10498	10498	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	10561	10561	10539	10539	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	10605	10605	10583	10583	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	10659	10659	10637	10637	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	10678	10678	10656	10656	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	10737	10737	10715	10715	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	10844	10844	10822	10822	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	10870	10870	10848	10848	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	10884	10884	10862	10862	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	11014	11014	10992	10992	1	SRMc	84	0	0	90	84	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	11165	11165	11143	11143	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	11205	11205	11183	11183	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	11214	11214	11192	11192	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	11222	11222	11200	11200	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	11244	11244	11222	11222	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	11260	11260	11238	11238	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	11266	11266	11244	11244	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	11275	11275	11253	11253	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	11281	11281	11259	11259	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	11384	11384	11362	11362	1	SRMc	87	0	0	90	87	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	11407	11407	11385	11385	1	SRMc	76	76	90	0	0	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	11580	11580	11558	11558	1	SRMc	30	82	90	0	0	30	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	11707	11707	11685	11685	1	SRMc	85	0	0	90	85	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	11824	11824	11802	11802	1	SRMc	27	84	89	27	0	37	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	11865	11865	11842	11842	1	WRMc	79	90	0	0	0	79	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	11980	11980	11957	11957	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	11981	11981	11958	11958	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	12099	12099	12076	12076	1	SRMc	85	0	0	90	85	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	12126	12126	12103	12103	1	SRMc	86	0	0	90	86	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	12228	12228	12205	12205	1	ESDN							
